parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_moderate
245,"Location (35.0194, -85.2396)",11817.474982558093,18,1864,1,51,11.32,7.74,100.0,93.45,8.33,100.0,40.0,Excellent - High Frequency,High Reliability,144
227,"Location (34.9871, -85.2876)",17454.508944879137,21,1230,2,82,13.21,5.11,100.0,89.47,16.67,75.45,39.92,Excellent - High Frequency,High Reliability,145
120,"Location (35.0456, -85.2590)",12225.56343242518,41,1073,1,192,25.79,4.46,100.0,75.35,8.33,100.0,39.92,Excellent - High Frequency,High Reliability,146
261,"Location (35.0224, -85.2433)",11928.26811832894,18,1818,1,57,11.32,7.55,100.0,92.68,8.33,100.0,39.83,Excellent - High Frequency,High Reliability,147
315,"Location (35.0109, -85.2239)",11238.202245081304,20,2069,1,95,12.58,8.59,100.0,87.8,8.33,100.0,39.73,Excellent - High Frequency,High Reliability,148
59,"Location (35.0243, -85.2452)",11974.843702041577,19,1922,1,78,11.95,7.98,100.0,89.99,8.33,100.0,39.71,Excellent - High Frequency,High Reliability,149
277,"Location (35.0149, -85.2092)",9943.447636659916,16,1584,1,37,10.06,6.58,100.0,95.25,8.33,100.0,39.61,Excellent - High Frequency,High Reliability,150
444,"Location (35.0226, -85.3200)",18303.894767335743,26,1756,2,182,16.35,7.29,100.0,76.64,16.67,66.96,39.44,Excellent - High Frequency,High Reliability,151
158,"Location (35.0185, -85.2388)",11810.946270524515,19,1967,1,96,11.95,8.17,100.0,87.68,8.33,100.0,39.42,Excellent - High Frequency,High Reliability,152
85,"Location (35.1065, -85.2718)",13287.58221223627,19,1140,1,47,11.95,4.73,100.0,93.97,8.33,100.0,39.34,Excellent - High Frequency,High Reliability,153
77,"Location (35.0373, -85.3177)",17625.92462199118,33,2077,3,312,20.75,8.63,100.0,59.95,25.0,73.74,39.27,Excellent - High Frequency,High Reliability,154
133,"Location (35.0580, -85.2772)",13536.43498529075,10,381,5,101,6.29,1.58,100.0,87.03,41.67,100.0,39.27,Excellent - High Frequency,High Reliability,155
416,"Location (35.0116, -85.2134)",10477.343419158178,22,2205,1,145,13.84,9.16,100.0,81.39,8.33,100.0,39.25,Excellent - High Frequency,High Reliability,156
349,"Location (35.1020, -85.2747)",13433.810699797194,17,1020,1,30,10.69,4.24,100.0,96.15,8.33,100.0,39.2,Excellent - High Frequency,High Reliability,157
439,"Location (35.0686, -85.2890)",14477.474986544785,18,1080,1,45,11.32,4.49,100.0,94.22,8.33,100.0,39.14,Excellent - High Frequency,High Reliability,158
127,"Location (35.0068, -85.2108)",10687.297546426966,14,1449,1,46,8.81,6.02,100.0,94.09,8.33,100.0,38.95,Excellent - High Frequency,High Reliability,159
91,"Location (35.0241, -85.2913)",15788.482377443996,35,1134,1,208,22.01,4.71,100.0,73.3,8.33,92.12,38.74,Excellent - High Frequency,High Reliability,160
399,"Location (35.0690, -85.2886)",14443.415070734227,18,1080,1,69,11.32,4.49,100.0,91.14,8.33,100.0,38.68,Excellent - High Frequency,High Reliability,161
36,"Location (35.0142, -85.2121)",10189.562171026239,19,1895,1,133,11.95,7.87,100.0,82.93,8.33,100.0,38.62,Excellent - High Frequency,High Reliability,162
408,"Location (35.0106, -85.2120)",10459.300858903674,20,1998,1,154,12.58,8.3,100.0,80.23,8.33,100.0,38.5,Excellent - High Frequency,High Reliability,163
374,"Location (35.1132, -85.2641)",12820.293326134364,16,960,1,59,10.06,3.99,100.0,92.43,8.33,100.0,38.41,Excellent - High Frequency,High Reliability,164
